"1,05767258495382E+018","1,05767258495382E+018",1541003769000,2018-10-31,17:36:09,CET,103860465,jacopodalbello,Jacopo Dal Bello,,Last WEARE was crazy!! See u 2night at magic_club_padova ! Next WE ARE Friday 23 November⚡️ #jacopodalbello #weare #oficinapaulepeter #asolo #techno #minimal @ Oficina di Paul e Peter  https://www.instagram.com/p/BpmrqAsnQ64/?utm_source=ig_twitter_share&igshid=4t1m97c6fsjr …,[],['https://www.instagram.com/p/BpmrqAsnQ64/?utm_source=ig_twitter_share&igshid=4t1m97c6fsjr'],[],0,0,1,"['#jacopodalbello', '#weare', '#oficinapaulepeter', '#asolo', '#techno', '#minimal']",[],https://twitter.com/JacopoDalBello/status/1057672584953823232,False,,0,,"46.1426200,12.2156000,50km",,,,,"[{'user_id': '103860465', 'username': 'JacopoDalBello'}]"
"1,05766861995644E+018","1,05766861995644E+018",1541002824000,2018-10-31,17:20:24,CET,716965117,anniejackson222,Annie Butterfly,,"Seguitemi / Follow me 
*
@AnnieJackson222 
*
titanic_1997_1912 @ Castelcucco  https://www.instagram.com/p/Bpmp0oHjsBL/?utm_source=ig_twitter_share&igshid=1qopv7yjr13st …",['anniejackson222'],['https://www.instagram.com/p/Bpmp0oHjsBL/?utm_source=ig_twitter_share&igshid=1qopv7yjr13st'],[],0,0,0,[],[],https://twitter.com/AnnieJackson222/status/1057668619956441088,False,,0,,"46.1426200,12.2156000,50km",,,,,"[{'user_id': '716965117', 'username': 'AnnieJackson222'}]"
"1,05765017509787E+018","1,05765017509787E+018",1540998426000,2018-10-31,16:07:06,CET,1394123354,silvano_spada,SilvanoSpada.Bravo,,"THE END, also this year my inktober is over!!! Thank you to everybody for your awesome support!!!
.
.
#digitalinktober XVIII 31/31
.
.
.
.
.
#inktober #inktober2018 #silvanospadabravo…  https://www.instagram.com/p/BpmheACnLhF/?utm_source=ig_twitter_share&igshid=w8r76a689ulq …",[],['https://www.instagram.com/p/BpmheACnLhF/?utm_source=ig_twitter_share&igshid=w8r76a689ulq'],[],0,0,0,"['#digitalinktober', '#inktober', '#inktober2018', '#silvanospadabravo']",[],https://twitter.com/Silvano_Spada/status/1057650175097872386,False,,0,,"46.1426200,12.2156000,50km",,,,,"[{'user_id': '1394123354', 'username': 'Silvano_Spada'}]"
"1,05762149914062E+018","1,05762149914062E+018",1540991589000,2018-10-31,14:13:09,CET,"1,02286028193921E+018",ashtangabelluno,Ashtanga Belluno,,"After the storm..
Pulizia tappetini ☺️ poco tempo per i social, ma volevamo dirvi che a piccoli passi ci stiamo muovendo e una parola sola per tutti voi che ci state…  https://www.instagram.com/p/BpmUC7mHzYW/?utm_source=ig_twitter_share&igshid=mvs2zcianxpe …",[],['https://www.instagram.com/p/BpmUC7mHzYW/?utm_source=ig_twitter_share&igshid=mvs2zcianxpe'],[],0,0,0,[],[],https://twitter.com/AshtangaBelluno/status/1057621499140624386,False,,0,,"46.1426200,12.2156000,50km",,,,,"[{'user_id': '1022860281939210240', 'username': 'AshtangaBelluno'}]"
"1,05762012930603E+018","1,05762012930603E+018",1540991263000,2018-10-31,14:07:43,CET,"8,38776838122049E+017",srlbared,Bared Srl,,#HappyHallowen 🎃 pic.twitter.com/izar1VhxUn,[],[],[],0,0,0,['#happyhallowen'],[],https://twitter.com/SrlBared/status/1057620129306025984,False,,1,,"46.1426200,12.2156000,50km",,,,,"[{'user_id': '838776838122049537', 'username': 'SrlBared'}]"
"1,0575931456539E+018","1,0575931456539E+018",1540984829000,2018-10-31,12:20:29,CET,115108065,markokantaneva,Marko Kantaneva,,"Thank You 🙏🏻 Giro Nordic, alexandergeronazzo and all wonderful Italian 🇮🇹 Nordic Walkers - it was fun!! @markokantaneva #vipole #nordicwalking #originalnordicwalking @ Sequsino, Veneto, Italy  https://www.instagram.com/p/BpmHhYKlt0h/?utm_source=ig_twitter_share&igshid=jccp0l0vf7f6 …",['markokantaneva'],['https://www.instagram.com/p/BpmHhYKlt0h/?utm_source=ig_twitter_share&igshid=jccp0l0vf7f6'],[],0,1,0,"['#vipole', '#nordicwalking', '#originalnordicwalking']",[],https://twitter.com/markokantaneva/status/1057593145653899264,False,,0,,"46.1426200,12.2156000,50km",,,,,"[{'user_id': '115108065', 'username': 'markokantaneva'}]"
"1,05759169260024E+018","1,05759169260024E+018",1540984483000,2018-10-31,12:14:43,CET,2776229048,osterialamuda,Osteria La Muda,,"Alcuni danni del vento di lunedì 29 ottobre 2018 a Passo San Boldo. Continuiamo ad essere isolati, senza elettricità e senza acqua. Siamo costretti a tenere chiuso fino a data da…  https://www.instagram.com/p/BpmG4BmHJf1/?utm_source=ig_twitter_share&igshid=1du411gc1fghi …",[],['https://www.instagram.com/p/BpmG4BmHJf1/?utm_source=ig_twitter_share&igshid=1du411gc1fghi'],[],0,1,0,[],[],https://twitter.com/osterialamuda/status/1057591692600242176,False,,0,,"46.1426200,12.2156000,50km",,,,,"[{'user_id': '2776229048', 'username': 'osterialamuda'}]"
"1,05756042477682E+018","1,05756042477682E+018",1540977028000,2018-10-31,10:10:28,CET,123980565,ortoteatro,Ortoteatro,,"OGGI mercoledì 31 ottobre 2018 ore 20.30 Auditorium Concordia - Pordenone 
FESTA DI HALLOWEEN A TEATRO Tutti in maschera per ridere e giocare insieme.
Giochi, scherzi, spettacolo e…  https://www.instagram.com/p/Bpl4pn1AvVK/?utm_source=ig_twitter_share&igshid=j25uh5yuvvza …",[],['https://www.instagram.com/p/Bpl4pn1AvVK/?utm_source=ig_twitter_share&igshid=j25uh5yuvvza'],[],0,0,0,[],[],https://twitter.com/ortoteatro/status/1057560424776818688,False,,0,,"46.1426200,12.2156000,50km",,,,,"[{'user_id': '123980565', 'username': 'ortoteatro'}]"
"1,05753266366439E+018","1,05753266366439E+018",1540970409000,2018-10-31,08:20:09,CET,369604706,sdstefanodassie,D A S S I E - Vero Gelato Artigiano,,"Buona giornata
・・・
Halloween 🎃Outfit 
#fashionbaby #leonardodassie #damorsegoni @ Spresiano  https://www.instagram.com/p/BplsCFhlZVm/?utm_source=ig_twitter_share&igshid=o247ttu1p09c …",[],['https://www.instagram.com/p/BplsCFhlZVm/?utm_source=ig_twitter_share&igshid=o247ttu1p09c'],[],0,0,0,"['#fashionbaby', '#leonardodassie', '#damorsegoni']",[],https://twitter.com/SDStefanoDassie/status/1057532663664386048,False,,0,,"46.1426200,12.2156000,50km",,,,,"[{'user_id': '369604706', 'username': 'SDStefanoDassie'}]"
"1,05751592168473E+018","1,05751592168473E+018",1540966418000,2018-10-31,07:13:38,CET,3040457837,colsandago,Col Sandago,,Magical early morning in Col Sandago #nofilter #colsandago #autumn #morning #nature #naturephotography #landscape #landscapephotography #wineyards #wildbacher @ Col Sandago  https://www.instagram.com/p/BplkalnHCpN/?utm_source=ig_twitter_share&igshid=ao6ikfxstw1n …,[],['https://www.instagram.com/p/BplkalnHCpN/?utm_source=ig_twitter_share&igshid=ao6ikfxstw1n'],[],0,0,0,"['#nofilter', '#colsandago', '#autumn', '#morning', '#nature', '#naturephotography', '#landscape', '#landscapephotography', '#wineyards', '#wildbacher']",[],https://twitter.com/ColSandago/status/1057515921684729856,False,,0,,"46.1426200,12.2156000,50km",,,,,"[{'user_id': '3040457837', 'username': 'ColSandago'}]"
